date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:37	20176/20176	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225bf8e02b-4ed0%22	https://mcoach.in/wp-content/themes/oceanwp/assets/js/third/magnific-popup.min.js?ver=1.5.32	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/themes/oceanwp/assets/js/third/magnific-popup.min7884.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:38	1248/1248	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225bf8e02b-4e0%22	https://mcoach.in/wp-content/themes/oceanwp/assets/js/third/lightbox.min.js?ver=1.5.32	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/themes/oceanwp/assets/js/third/lightbox.min7884.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:38	6125/6125	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2027%20Dec%202017%2000:06:24%20GMT	https://c0.wp.com/p/jetpack/6.8/_inc/build/likes/queuehandler.min.js	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/c0.wp.com/p/jetpack/6.8/_inc/build/likes/queuehandler.min.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:39	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Nov%202018%2010:33:38%20GMT	http://mcoach.in/wp-content/plugins/a3-lazy-load/assets/js/jquery.lazyloadxt.extra.min.js?ver=1.9.1	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/plugins/a3-lazy-load/assets/js/jquery.lazyloadxt.extra.min.383109.delayed	(from https://mcoach.in/prodiva-landing-page/)
16:03:39	123507/123507	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225bf8e02b-1e273%22	https://mcoach.in/wp-content/themes/oceanwp/assets/js/main.min.js?ver=1.5.32	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/themes/oceanwp/assets/js/main.min7884.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:39	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Nov%202018%2010:33:39%20GMT	http://mcoach.in/wp-content/plugins/a3-lazy-load/assets/js/jquery.lazyloadxt.srcset.min.js?ver=1.9.1	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/plugins/a3-lazy-load/assets/js/jquery.lazyloadxt.srcset.min3109.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:39	3014/3014	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225bd80484-bc6%22	https://mcoach.in/wp-content/plugins/a3-lazy-load/assets/js/jquery.lazyloadxt.extra.min.js?ver=1.9.1	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/plugins/a3-lazy-load/assets/js/jquery.lazyloadxt.extra.min3109.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:40	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Nov%202018%2010:33:39%20GMT	http://mcoach.in/wp-content/plugins/a3-lazy-load/assets/js/jquery.lazyloadxt.extend.js?ver=1.9.1	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/plugins/a3-lazy-load/assets/js/jquery.lazyloadxt.extend3109.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:40	1347/1347	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225bd80484-543%22	https://mcoach.in/wp-content/plugins/a3-lazy-load/assets/js/jquery.lazyloadxt.srcset.min.js?ver=1.9.1	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/plugins/a3-lazy-load/assets/js/jquery.lazyloadxt.srcset.min3109.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:40	792/792	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225bd80484-318%22	https://mcoach.in/wp-content/plugins/a3-lazy-load/assets/js/jquery.lazyloadxt.extend.js?ver=1.9.1	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/plugins/a3-lazy-load/assets/js/jquery.lazyloadxt.extend3109.js	(from https://mcoach.in/prodiva-landing-page/)
